origin_location_code,destination_location_code,departure_date,adults,currency,total,base,validatingAirlineCodes,distance,duration,duration_in_traffic
TLV,IST,2022-11-01,1,EUR,103.21,39.00,PC,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,145.53,62.00,PC,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,161.79,75.00,TK,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,174.81,104.00,A3,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,210.37,105.00,AF,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,236.79,150.00,TK,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,241.79,155.00,TK,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,255.81,185.00,A3,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,313.37,208.00,AF,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,374.82,279.00,AF,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,437.25,271.00,EK,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,451.27,214.00,MS,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,451.76,214.00,MS,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,452.26,214.00,MS,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,504.33,408.00,LH,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,510.77,408.00,LH,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,520.43,408.00,LH,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,527.74,355.00,AT,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,572.47,346.00,MS,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,593.82,438.00,FZ,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,643.77,373.00,ET,1843656,74560,73476
TLV,IST,2022-11-01,1,EUR,1332.06,1205.00,LO,1843656,74560,73476
TLV,AMS,2022-11-01,1,EUR,129.61,17.00,AZ,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,135.42,19.00,PC,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,172.75,139.00,LY,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,179.31,58.00,TP,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,181.37,140.00,UX,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,182.06,58.00,TP,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,208.20,160.00,UX,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,215.51,148.00,A3,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,224.06,137.00,LO,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,252.04,155.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,253.82,108.00,TK,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,258.82,113.00,TK,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,267.54,162.00,VS,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,282.75,229.00,LY,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,298.54,193.00,VS,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,320.20,272.00,IB,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,332.20,253.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,367.37,326.00,IB,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,378.04,281.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,390.04,293.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,409.24,313.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,466.27,229.00,MS,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,479.24,383.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,482.25,316.00,EK,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,489.74,317.00,AT,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,520.86,434.00,LX,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,523.77,434.00,OS,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,529.49,434.00,LH,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,531.24,435.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,536.77,434.00,LH,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,712.75,664.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,776.79,673.00,LY,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,784.07,673.00,LY,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,832.23,715.00,VS,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,1015.87,947.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,1055.16,990.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,1154.07,1073.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,1218.79,1153.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,1314.79,1249.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,1315.59,1249.00,AF,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,1456.07,1353.00,LY,4539595,170777,Null
TLV,AMS,2022-11-01,1,EUR,1634.06,1547.00,AF,4539595,170777,Null
